ZIPCODE,2020,2021,2022,2023,2024
33147,31,20,22,18,5
33142,20,18,11,11,8
33054,14,12,11,6,8
33127,7,12,10,4,6
33150,8,5,8,7,10
33056,5,4,7,11,8
33169,5,6,11,6,5
33157,12,3,5,6,6
33136,6,6,10,2,4
33032,9,6,7,3,2
33034,5,8,3,5,6
33162,7,4,2,8,4
33170,6,1,2,3,6
33033,2,8,5,2,1
33030,1,1,4,6,6
33055,4,4,3,4,2
33167,4,2,4,6,1
33161,2,3,6,5,1
33138,5,2,3,3,2
33168,5,3,5,1,0
33177,4,4,3,2,1
33179,5,1,4,2,1
33015,2,4,2,0,5
33176,4,5,2,0,1
33126,3,4,2,2,1
33139,0,2,4,4,1
33012,3,3,1,2,2
33135,1,1,5,3,0
33166,2,2,3,1,1
33189,3,1,2,1,1
33144,3,1,3,1,0
33010,1,3,1,1,2
33018,0,1,0,6,0
33014,0,1,3,1,2
33125,3,1,2,1,0
33175,1,1,1,0,3
33031,1,1,2,0,2
33016,2,1,2,0,1
33137,3,1,1,0,0
33133,1,0,1,1,2
33134,3,0,1,0,1
33132,1,3,0,0,1
33155,1,1,1,0,2
33181,2,1,0,1,0
33145,2,0,1,1,0
33130,0,1,2,0,1
33143,1,1,0,0,2
33186,0,1,3,0,0
33185,1,0,0,0,2
33013,0,1,1,0,1
33187,3,0,0,0,0
33173,0,1,0,2,0
33174,3,0,0,0,0
33128,0,2,0,1,0
33180,0,0,1,1,0
33146,0,0,0,1,1
33141,0,0,2,0,0
33165,0,1,1,0,0
33172,1,0,0,1,0
33196,0,1,1,0,0
33190,1,0,0,0,0
33194,0,0,1,0,0
33131,0,0,1,0,0
33183,0,1,0,0,0
33140,0,1,0,0,0
33193,0,0,1,0,0
33156,0,0,0,1,0
33178,0,1,0,0,0
33184,1,0,0,0,0
33129,1,0,0,0,0
33035,0,0,0,0,0
33037,0,0,0,0,0
33101,0,0,0,0,0
33109,0,0,0,0,0
33122,0,0,0,0,0
33149,0,0,0,0,0
33154,0,0,0,0,0
33158,0,0,0,0,0
33160,0,0,0,0,0
33182,0,0,0,0,0
